sourashtra_word,tamil_word,english_word
musiNDi jhaaDu,எட்டி மரம்,Poison Nut Tree
umbLaa jhaaDu,அத்தி மரம்,Cluster Fig Tree
jembu jhaaDu,நாவல் மரம்,Jamun Tree
bOru jhaaDu,இலந்தை மரம்,Indian Plum Tree
bongu jhaaDu,மூங்கில் மரம்,Bamboo Tree
pimpaL jhaaDu,அரச மரம்,Peepal Tree
Ponnaa jhaaDu,புன்னை மரம்,Punna Tree
ODaa jhaaDu,ஆல மரம்,Banyan Tree
ponnisu jhaaDu,பலாமரம்,Jackfruit Tree
kELu jhaaDu,வாழைமரம்,Banana Tree
taaDi jhaaDu,பனைமரம்,Palmyra Palm Tree
bilvam jhaaDu,வில்வ மரம்,Bilva Tree
kovTu jhaaDu,விளா மரம்,Wood Apple Tree
bhurumu jhaaDu,இலவு மரம்,Silk Cotton Tree
jhaTaa jhaaDu,மரா மரம்,Mara Tree
somi jhaaDu,வன்னி மரம்,Shami Tree
luskim jhaaDu,எருக்க மரம்,Crown Flower Tree
accaa jhaaDu,கருங்காலி மரம்,Ebony Tree
ciis jhaaDu,புளியமரம்,Tamarind Tree
liim jhaaDu,வேப்பமரம்,Neem Tree
naral jhaaDu,தென்னைமரம்,Coconut Tree
cevkaa jhaaDu,முருங்கைமரம்,Drumstick Tree
kaccambaa jhaaDu,மாமரம்,Mango Tree
viiT jhaaDu,நார்த்தங்காய் மரம்,Citron Tree
limbu jhaaDu,எலுமிச்சை மரம்,Lime Tree
sirkkan jhaaDu,சந்தன மரம்,Sandalwood Tree
